"entrp_nm","load_addr","city_do_cd","city_gn_gu_cd","xpos_lo","ypos_la","area_nm","homepage_url","tel_no","reprsnt_menu_nm","menu_pc","base_ymd","id","naver_place_url","business_hours","naver_place_menu","naver_thumb_url"
쁘숑,경기 안산시 단원구 고잔2길 42,"41","41273",126.835864,37.317484,경기,"","031-402-9250","","","2019-12-09",635,https://m.place.naver.com/place/1024762555,"",,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190130_292%2F1548831672601RrzTk_JPEG%2F8aqN9M5IV2K6TDEx8vvPt_UV.jpeg.jpg
큰숲베이커리,경기 안산시 단원구 고잔로 112 신광프라자 106호,"41","41273",126.838553,37.318709,경기,"","031-401-8702",바게트,"","2019-12-09",636,https://m.place.naver.com/place/1242586366,매일 08:00 - 23:00 매주 일요일 휴무,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191017_227%2F1571293822540lUV13_JPEG%2F2o2JLtd3YlnMCQzRN2bJ4kSf.jpg
브레미오,경기 안산시 단원구 고잔로 23-12 대우마이빌 1층,"41","41273",126.829285,37.32051,경기,http://www.instagram.com/vremio_bakery,"010-8745-8906",쑥콩샌드브레드,"3000원","2019-12-09",637,"","",,
프랜드 유,경기 안산시 단원구 광덕1로 56 로얄프라자 107호,"41","41273",126.815781,37.308211,경기,http://프렌드유베이커리.com,"031-411-7396",단팥빵,"2000원","2019-12-09",638,https://m.place.naver.com/place/15992983,"",,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxOTA3MTZfMTU2%2FMDAxNTYzMjQ5MzA1NDUw.0om5EvaoF9AoGATjknklYxiijZF3_qXkWbuZb4HHVaYg.R-zdorq2Vgb-YgB4k_B47bADUbeqCWECP8pV2p4rdzcg.JPEG.choiyj7202%2FKakaoTalk_20190716_124849893.jpg
안부,경기 안산시 단원구 광덕2로 163-5 황금프라자 1층 카페 안부,"41","41273",126.828415,37.310382,경기,"","010-2200-0168",크랜베리 체다 스콘,"2300원","2019-12-09",639,https://m.place.naver.com/place/1655459064,목요일 휴무 2월 11일 휴무|금요일 12:00 - 21:00 설 당일 12시 오픈|토요일 09:00 - 21:00|일요일 09:00 - 21:00|월요일 휴무 정기휴무|화요일 09:00 - 21:00|수요일 09:00 - 21:00,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200709_277%2F1594255857987aP8TQ_JPEG%2FmXNJ-4Hf-jOi457y8RyTq5Ud.jpeg.jpg
슈아라슈,경기 안산시 단원구 광덕2로 50-13 광장빌딩 103호,"41","41273",126.815886,37.30942,경기,"","070-4038-8477",리얼 커스터트,"1800원","2019-12-09",640,"","",,
오빵,경기 안산시 단원구 광덕3로 59-1,"41","41273",126.819345,37.313266,경기,"","","","","2019-12-09",641,https://m.place.naver.com/place/1536110385,평일 10:00 - 20:30|일요일 휴무|공휴일 휴무,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200618_100%2F1592469676057WyIDY_JPEG%2F2wfPvOvTx3MFICzv3IgwKawf.jpg
행복베이커리,경기 안산시 단원구 광덕4로 102,"41","41273",126.823625,37.31521,경기,"","","","","2019-12-09",642,https://m.place.naver.com/place/1025470140,"",,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191123_52%2F1574517062679AOV23_JPEG%2FSIfJoJueql6NxC3gYcvKIwbm.jpg
자미당,경기 안산시 단원구 광덕4로 244,"41","41273",126.83932,37.314319,경기,"","031-487-8887","","","2019-12-09",643,https://m.place.naver.com/place/1089327115,매일 09:30 - 19:00|일요일 휴무,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxOTA1MDNfMTMy%2FMDAxNTU2ODQ5NDA5NjI0.Zl-kBIUK6Terr788bvroYTNExLm93yA4hAcoFXpjgV8g.jHinCYs_d2wRuTcTxM7KPH2ObQbgjqT7jxIirrr0z_gg.JPEG.shym0804%2FKakaoTalk_20190425_230537034.jpg
빵드미유기농빵집,경기 안산시 단원구 광덕대로 174 월드타운 A동 135호,"41","41273",126.830928,37.312029,경기,"","","","","2019-12-09",644,"","",,
씩소,경기 안산시 단원구 광덕대로 194 NC백화점 A관 6층 2호,"41","41273",126.831016,37.313643,경기,"","031-436-4360",식빵 종류,"3800-4300원","2019-12-09",645,"","",,
좋은아침,경기 안산시 단원구 광덕동로 39 대우프라자,"41","41273",126.832074,37.307923,경기,"","031-484-0404",크로와상,"","2019-12-09",646,"","",,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160705_30%2F1467709121573JHHQ1_JPEG%2F176651504627004_0.jpeg
르헤브드마망,경기 안산시 단원구 광덕동로 41 로진프라자,"41","41273",126.832115,37.308202,경기,"","031-414-9279",미니퐁당식빵,"2500원","2019-12-09",647,https://m.place.naver.com/restaurant/71666269,매일 10:00 - 22:00|일요일 휴무,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20161108_20%2F14785787585459HkmR_JPEG%2F177057504926782_0.jpeg
팡도르베이커리,경기 안산시 단원구 광덕동로 61 중앙프라자,"41","41273",126.832359,37.309953,경기,"","031-405-5404",옥수수스콘,"2000원","2019-12-09",648,https://m.place.naver.com/place/37147026,"",,
박규병단팥빵,경기 안산시 단원구 광덕동로 81 진성드림프라자,"41","41273",126.832456,37.311666,경기,"","031-405-7775",단팥빵,"1500원","2019-12-09",649,https://m.place.naver.com/restaurant/36271310,매일 08:00 - 22:00,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200811_197%2F1597110788446ij0pA_JPEG%2F6nEmEtjD9os5uTuAWa-6_hK3.jpg
파이댄코,경기 안산시 단원구 광덕동로 99 현대타운 1층 112호,"41","41273",126.832634,37.313307,경기,"","031-410-8279","","","2019-12-09",650,"","",,
코코봉봉베이커리,경기 안산시 단원구 달미로 94,"41","41273",126.815477,37.344097,경기,"","031-486-8208","","","2019-12-09",651,https://m.place.naver.com/restaurant/36623098,매일 07:00 - 23:00 일요일 휴무,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200707_13%2F1594120553259tE4c4_JPEG%2Fj5vBC4aWbYe4Fp0UUaYg0YGU.jpg
마들렌과자점,경기 안산시 단원구 당곡2로 23 주공8단지아파트,"41","41273",126.839186,37.324473,경기,"","031-480-6363","","","2019-12-09",652,https://m.place.naver.com/place/13157617,매일 08:00 - 23:00 명절 휴무,,
디망,경기 안산시 단원구 대부남동 1111,"41","41273",126.564638,37.233258,경기,"","032-886-4790","","","2019-12-09",653,https://m.place.naver.com/place/36286314,"",,
대부도 빵집,경기 안산시 단원구 대부중앙로 88,"41","41273",126.583651,37.243371,경기,"","032-884-3150",케익,"","2019-12-09",654,"","",,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180801_212%2F1533127727719aDT4i_PNG%2FqqovQVsqkuc3hCwiye_JXMkM.PNG.png
단팥빵과마늘빵,경기 안산시 단원구 민속공원로 85,"41","41273",126.83864,37.313033,경기,"","","","","2019-12-09",655,"","",,
빵굽는마을피자,경기 안산시 단원구 보화로 24,"41","41273",126.829617,37.331101,경기,"","031-401-5027","","","2019-12-09",656,https://m.place.naver.com/restaurant/18056420,"",,
브레드 카페,경기 안산시 단원구 석수로6길 15 BYC,"41","41273",126.805483,37.343799,경기,"","010-5263-2542",크림치즈 감자빵,"3500원","2019-12-09",657,https://m.place.naver.com/place/1954504795,매일 11:00 - 21:00,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190813_174%2F1565693788786tkrPg_JPEG%2FHlo781bAEOIcNW8F2xQd2MgR.jpg
크라상제과점,경기 안산시 단원구 선부광장1로 14,"41","41273",126.807301,37.335843,경기,"","031-401-0953","","","2019-12-09",658,https://m.place.naver.com/place/21024102,매일 06:00 - 22:00,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200304_193%2F1583308061036pyUc5_JPEG%2FsUuPs-pibf46cuan-VcBoafy.jpg
브레드피아,경기 안산시 단원구 선부로 256,"41","41273",126.823479,37.341168,경기,"","031-483-1236",피자빵,"1500원","2019-12-09",659,https://m.place.naver.com/restaurant/37130706,매일 06:00 - 24:00,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150923_235%2F14429977940830lzje_JPEG%2F166871553340379_0.jpeg
솔로몬제과,경기 안산시 단원구 선이로 14 안산제1종합시장,"41","41273",126.803632,37.342356,경기,"","031-486-6064","","","2019-12-09",660,https://m.place.naver.com/place/18215400,매일 06:30 - 24:00,,
중앙제과,경기 안산시 단원구 예술대학로 20,"41","41273",126.837254,37.318768,경기,"","","","","2019-12-09",661,https://m.place.naver.com/place/18710065,"",,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDAzMjRfMzMg%2FMDAxNTg1MDI2MDU0MTcx.HNJ3f8BQqnJ9BI3SoWl2J7BwjJ3HtUBGIjP0-EGR0Qwg.71mtFCVxkefEv2tIzuzhD_LsyF0cjvtzrnFRdNmGQj4g.JPEG.xxsolxx_%2FIMG_5929.jpg
리치수제베이커리,경기 안산시 단원구 와동로 82,"41","41273",126.828749,37.337562,경기,"","031-482-0545","","","2019-12-09",662,https://m.place.naver.com/restaurant/1333799745,"",,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190131_202%2F1548915045865ER8Nl_JPEG%2FqkbdT7bXioy3sWTEV9TCsoy0.jpg
시크릿브레드,경기 안산시 단원구 원초로 23 시크릿브레드,"41","41273",126.801721,37.3291,경기,http://instagram.com/secret.bread,"010-4214-0450",어니언크림치즈베이글,"2500원","2019-12-09",663,https://m.place.naver.com/restaurant/1887290728,목요일 11:00 - 22:00 일요일 휴무|금요일 11:00 - 22:00 일요일 휴무|토요일 11:00 - 22:00 일요일 휴무|월요일 11:00 - 22:00 일요일 휴무|화요일 11:00 - 22:00 일요일 휴무|수요일 11:00 - 22:00 일요일 휴무,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191023_27%2F15718260148116FAJg_JPEG%2F3Eo79cuWiU21rvmVyFhabZ--.jpg
빵굽는쉐프,경기 안산시 단원구 원초로 30,"41","41273",126.801698,37.328397,경기,"","070-4125-7125","","","2019-12-09",664,https://m.place.naver.com/place/11807563,매일 06:00 - 24:00 연중무휴,,nosearch
시크릿브레드,경기 안산시 단원구 원초로 9,"41","41273",126.801672,37.330082,경기,"","","","","2019-12-09",665,https://m.place.naver.com/restaurant/1887290728,목요일 11:00 - 22:00 일요일 휴무|금요일 11:00 - 22:00 일요일 휴무|토요일 11:00 - 22:00 일요일 휴무|월요일 11:00 - 22:00 일요일 휴무|화요일 11:00 - 22:00 일요일 휴무|수요일 11:00 - 22:00 일요일 휴무,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191023_27%2F15718260148116FAJg_JPEG%2F3Eo79cuWiU21rvmVyFhabZ--.jpg
밀크앤허니,경기 안산시 단원구 원포공원1로 46 이마트,"41","41273",126.812973,37.303128,경기,"","","","","2019-12-09",666,https://m.place.naver.com/place/38695724,"",,
빵하나케잌하나,경기 안산시 단원구 인현중앙길 22 신원빌라7차,"41","41273",126.821669,37.323381,경기,"","031-480-0034","","","2019-12-09",667,https://m.place.naver.com/restaurant/37928027,"",,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191202_65%2F1575270973286NEOzi_JPEG%2FA_EjcNmE6HexhwdiWBdGHZvG.jpg
독일제과,경기 안산시 단원구 적금로5길 17 대동15차빌라,"41","41273",126.826653,37.329422,경기,"","031-482-1291","","","2019-12-09",668,https://m.place.naver.com/place/18256709,매일 06:00 - 22:30|일요일 휴무,,
베이커리박,경기 안산시 단원구 지곡로 115-1,"41","41273",126.794919,37.339547,경기,"","031-492-9973","","","2019-12-09",669,https://m.place.naver.com/place/1771813867,"",,
레표시카,경기 안산시 단원구 화랑로 22,"41","41273",126.796115,37.332522,경기,"","","","","2019-12-09",670,https://m.place.naver.com/place/1027895937,"",,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191128_9%2F1574940964862Y1HCG_JPEG%2Fx4vsSCjh_wrhZvdg38qSc0RC.jpg
맘베이커리,경기 안산시 단원구 화랑로 408,"41","41273",126.833082,37.3208,경기,"","031-495-5160",맘전통바게트,"4000원","2019-12-09",671,https://m.place.naver.com/place/234816637,평일 08:00 - 20:00|토요일 09:00 - 19:00|일요일 휴무,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191221_158%2F1576909502883Hoj7g_JPEG%2Fv3tku7NAc1seD5la3DhZxTwQ.jpg
몽블랑,경기 안산시 단원구 화정로 6,"41","41273",126.813429,37.332273,경기,"","","","","2019-12-09",672,https://m.place.naver.com/place/31011688,"",,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDA4MzBfMTEy%2FMDAxNTk4NzkzOTQ1NDky.hK-_iL6vy7o3JtQzIYuii832OiAQYRjqlxgBq_cAhmMg.4f14vNcMUeXGTjPGLDab9VYkPGmyGjP9tR18BE4HFGQg.JPEG.janjus2%2FIMG_0148.
좋은빵만들기,경기 안산시 단원구 화정로안길 18,"41","41273",126.818813,37.332885,경기,"","","","","2019-12-09",673,https://m.place.naver.com/place/1116952885,"",,
빵굽는마을피자,경기 안산시 상록구 각골로 55,"41","41271",126.87232,37.294527,경기,"","031-406-7883",토스트식빵,"","2019-12-09",674,https://m.place.naver.com/restaurant/18056420,"",,
빵굽는마을피자,경기 안산시 상록구 건건로 28,"41","41271",126.901465,37.303748,경기,"","","","","2019-12-09",675,https://m.place.naver.com/restaurant/18056420,"",,
좋은아침과자점,경기 안산시 상록구 광덕1로 386 캠퍼스타운,"41","41271",126.852427,37.308464,경기,"","031-408-3461","","","2019-12-09",676,"","",,
이영수과자점,경기 안산시 상록구 광덕산안길 14,"41","41271",126.844375,37.334877,경기,"","031-413-3755","","","2019-12-09",677,https://m.place.naver.com/restaurant/18068205,"",,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDA5MTBfMTQx%2FMDAxNTk5NzEzMTA4MTQ2.UQyZLnMqlRZsWKMi0SBQIfymAr16Go2Lkom3FsuuZ00g.BogIn08P9NWn4S78gvb_449zD5_M3uC-d1YzZ6nMeh4g.JPEG.hjoo9595%2FIMG_1355.jpg
도깨비빵집,경기 안산시 상록구 도매시장로 45,"41","41271",126.859904,37.310879,경기,"","","","","2019-12-09",678,https://m.place.naver.com/place/1094532165,"",,
굿모닝베이커리,경기 안산시 상록구 매화로3길 27,"41","41271",126.863299,37.304929,경기,"","031-406-8866","","","2019-12-09",679,https://m.place.naver.com/place/1417279890,"",,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200615_226%2F1592195019755TWOIr_JPEG%2FNuQ_TJWxJHpfKz59jhrs6Als.jpg
한샘빵집,경기 안산시 상록구 반월로 27,"41","41271",126.902623,37.303255,경기,"","031-407-0437","","","2019-12-09",680,https://m.place.naver.com/place/32708487,매일 07:00 - 24:00,,
뉴월드베이커리,경기 안산시 상록구 부곡로 123,"41","41271",126.863328,37.332979,경기,"","031-416-3490","","","2019-12-09",681,https://m.place.naver.com/place/19004024,"",,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170321_118%2F1490084637779wQUPA_JPEG%2F186271575377495_0.jpg
프랑소아과자점,경기 안산시 상록구 부곡로 142,"41","41271",126.864504,37.334297,경기,"","031-417-4429","","","2019-12-09",682,https://m.place.naver.com/restaurant/1127277121,매일 07:30 - 23:30,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200404_37%2F1586001960424MYea1_JPEG%2F0YLmBYKY3LeKcfJbgAjJgrTv.jpeg.jpg
빵나라케익궁전,경기 안산시 상록구 부곡로 37,"41","41271",126.859373,37.325868,경기,"","","","","2019-12-09",683,https://m.place.naver.com/restaurant/21778400,"",,
한양빵집,경기 안산시 상록구 샘골로 111,"41","41271",126.862633,37.293722,경기,"","031-418-2352","","","2019-12-09",684,https://m.place.naver.com/place/35905779,매일 07:00 - 23:00,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200807_286%2F15967768933039dKa4_JPEG%2F88SEPsi6hlp23UIAxwvJQX9t.jpg
식빵클럽,경기 안산시 상록구 샘골로 153,"41","41271",126.862835,37.297527,경기,"","",찹쌀모찌식빵,"2900원","2019-12-09",685,https://m.place.naver.com/place/1197620250,"",,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200113_264%2F1578897494275cNtz4_JPEG%2Fimage.jpg
한스베이커리,경기 안산시 상록구 샘골로 48,"41","41271",126.864092,37.288159,경기,"","031-417-1190","","","2019-12-09",686,https://m.place.naver.com/place/11715731,매일 07:00 - 22:00 ※정부의 사회적 거리두기 지침에 따라 영업 시간이 변동될 수 있습니다. : 저녁 이용 시간 ~ 21:00 까지,,nosearch
늘푸른빵집사1동점,경기 안산시 상록구 석호로 170,"41","41271",126.850562,37.296885,경기,"","","","","2019-12-09",687,https://m.place.naver.com/restaurant/37151360,"",,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200812_137%2F1597225359521mwNqI_JPEG%2Ft3SIfC9aKHHrY2qODbS_Y4US.jpg
그라지에제과점,경기 안산시 상록구 성포로 31 안산현대1차아파트,"41","41271",126.844973,37.324557,경기,"","031-401-1616","","","2019-12-09",688,https://m.place.naver.com/restaurant/18061248,매일 06:00 - 00:00,,
후레쉬베이커리,경기 안산시 상록구 성호로 210,"41","41271",126.857896,37.32206,경기,"","031-416-4455","","","2019-12-09",689,https://m.place.naver.com/place/17936872,매일 08:00 - 23:00,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200809_248%2F1596951251556twva9_JPEG%2F8SrKzKn3cm5nQvvU74B3DCpb.jpg
데일리베이커리,경기 안산시 상록구 성호로 30 원영빌딩,"41","41271",126.868289,37.309149,경기,"","","","","2019-12-09",690,https://m.place.naver.com/place/36022454,평일 07:00 - 22:30 주일은 쉽니다,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200227_104%2F1582772059370aiPeU_JPEG%2FAFKxjbjL0VR4y707pUT9VALy.jpg
퐁네프제과점,경기 안산시 상록구 시낭북로 20,"41","41271",126.857637,37.334699,경기,"","031-439-0095","","","2019-12-09",691,https://m.place.naver.com/place/18040272,평일 08:00 - 19:00|토요일 08:00 - 12:00,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200812_211%2F1597242446643pXHNV_JPEG%2FhH6Ho8-LQJsXBbivyq735CnT.jpg
행복,경기 안산시 상록구 안산대학로 160,"41","41271",126.873287,37.309115,경기,"","","","","2019-12-09",692,https://m.place.naver.com/place/1494314398,"",,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxOTA3MjVfNTMg%2FMDAxNTY0MDQ4MDM5MzY3.yt5O1CTOVuF7fhWNyzF0LSlDE1Do4eKGqNoajvm-_9Ig.fAyGzgkEf8UIBQetq0eD6h85PPN4mGQs6bVrU61Em0og.JPEG.winter8100%2Foutput_3581825380.jpg
브레드이민영베이커리,경기 안산시 상록구 예술광장1로 46 로얄프라자,"41","41271",126.846942,37.32937,경기,"","031-480-0766","","","2019-12-09",693,https://m.place.naver.com/restaurant/20502071,매일 09:00 - 22:00,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190130_12%2F1548814024200qVwJG_JPEG%2F6E8ASDw22uyYbcxpambJ5afN.jpeg.jpg
한아름즉석빵,경기 안산시 상록구 용신로 393,"41","41271",126.865916,37.30189,경기,"","031-407-9266","","","2019-12-09",694,https://m.place.naver.com/restaurant/1136000682,"",,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDA3MjJfNjYg%2FMDAxNTk1NDI0MTEwOTQ5.V8gBgtr4hOMGCvMIZQyzxkIEPTNIFf4ijza9mM7EPDsg.feAktPIt9n_rnit4tuOl0WR4uxgExVSCdpMqkYQP5PEg.JPEG.joorin5%2FIMG_1795.jpg
한형규제과점,경기 안산시 상록구 월피로 22,"41","41271",126.848881,37.330938,경기,"","","","","2019-12-09",695,https://m.place.naver.com/place/21777377,"",,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200731_161%2F1596162470042OTA0s_JPEG%2FBxQcQp9uB9cR8CtIGSADLBlj.jpg
브랑제리베이커리,경기 안산시 상록구 충장로 427 세차장,"41","41271",126.848668,37.316771,경기,"","","","","2019-12-09",696,https://m.place.naver.com/place/31259076,"",,
아침햇살베이커리,경기 안산시 상록구 충장로 567,"41","41271",126.849994,37.328985,경기,"","","","","2019-12-09",697,https://m.place.naver.com/place/18067862,"",,
해피제과,경기 안산시 상록구 한양대학3길 7,"41","41271",126.842061,37.301101,경기,"","031-409-0744","","","2019-12-09",698,https://m.place.naver.com/place/1802067706,목요일 07:00 - 20:00|평일 07:00 - 20:00|금요일 07:00 - 20:00|월요일 07:00 - 20:00|화요일 07:00 - 20:00|수요일 07:00 - 20:00,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181009_199%2F1539033381299xN4KB_JPEG%2FUfdoTKoTQUBYijGlqhga2y66.JPG.jpg
이경순베이커리,경기 안산시 상록구 한양대학로 35,"41","41271",126.839856,37.300719,경기,"","031-406-8559","","","2019-12-09",699,https://m.place.naver.com/restaurant/1498562177,"",,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190128_151%2F1548641131249eojIk_JPEG%2FxpxonANV79p8w52l7YZccgj6.jpeg.jpg
빵익는아침,경기 안산시 상록구 항가울로 17-1,"41","41271",126.847111,37.283579,경기,"","031-406-9390","","","2019-12-09",700,https://m.place.naver.com/restaurant/1025351910,"",,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190130_104%2F1548822906720tDXtm_JPEG%2FWIDHq38l0D2Z8tE9F4qAmuEy.JPG.jpg
보리수베이커리카페,경기 안산시 상록구 화랑로 513 스타프라자 1층 8호,"41","41271",126.844432,37.320812,경기,"","031-482-8785",우유식빵,"2500원","2019-12-09",701,https://m.place.naver.com/place/1069179598,"",,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190507_59%2F1557202832777lVqw5_JPEG%2FzwgIEuxzkFZRYPSCEiic_BrZ.jpg
르쥬르뒤뺑,경기 안성시 공도읍 공도1로 35,"41","41550",127.169075,37.002147,경기,"","070-4795-1777","","","2019-12-09",702,https://m.place.naver.com/place/1625433665,"",,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxOTA3MThfNSAg%2FMDAxNTYzNDM0ODg0MTQ4.3uxzzpH8Avz_NK8h-yEFDHMLSWZIYNAGafeEQwq3rpYg.gdUwuHspJy1tzcGOk1PdnjAld7oQprs-tCMjBlydXoEg.JPEG.whan672%2FIMG_6276.
길쉐프베이커리,경기 안성시 공도읍 대림동산길 14,"41","41550",127.203631,37.011188,경기,https://instagram.com/kil_chef_bakery?igshid=11titjx2q3r6r,"031-618-3477",단팥빵,"1300원","2019-12-09",703,https://m.place.naver.com/restaurant/37642555,"매일 09:00 - 21:00 매주 화요일 휴무, 마지막 주는 화,수 휴무",,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200501_148%2F1588343750814DSLBH_JPEG%2FmW1itPFFnRv1HcV-VCnEXjNu.jpg
좋은하루빵,경기 안성시 공도읍 진사길 7,"41","41550",127.138367,36.993296,경기,"","031-652-7789","","","2019-12-09",704,https://m.place.naver.com/restaurant/36879449,매일 07:00 - 24:00,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=http%3A%2F%2Fblogfiles.naver.net%2F20150525_45%2F111zxcv111_1432548009054pVBp3_JPEG%2FNaverBlog_20150525_190008_05.jpg
테일러 비,경기 안성시 대덕면 죽촌길 25-5,"41","41550",127.221198,37.001996,경기,"","031-676-8407","","","2019-12-09",705,https://m.place.naver.com/restaurant/106015768,매일 10:30 - 22:00,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170112_110%2F1484194675234FxSc1_JPEG%2F186061548727030_0.jpeg
허비카페,경기 안성시 삼죽면 국사봉로 641-12,"41","41550",127.358501,37.06551,경기,http://www.asherbtown.com,"031-671-3773",브런치,"8000원","2019-12-09",706,https://m.place.naver.com/restaurant/37486503,매일 10:00 - 21:00,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160121_7%2F14533569347120iB51_JPEG%2F176067545520601_0.jpeg
